질병코드,질병명,Marginal_R2,기온_가중치(%),PM25_가중치(%),습도_가중치(%),일교차_가중치(%)
I10,본태성(원발성) 고혈압,0.384,19.48,21.82,14.35,44.35
J06,다발성 및 상세불명 부위의 급성 상기도감염,0.1578,16.99,18.58,10.53,53.9
J20,급성 기관지염,0.2116,17.3,22.7,9.86,50.13
J30,혈관운동성 및 알레르기성 비염,0.4297,0.43,15.3,10.97,73.3
J45,천식,0.1847,56.86,7.49,7.07,28.58
K29,위염 및 십이지장염,0.0558,3.5,8.96,21.81,65.73
L23,알레르기성 접촉피부염,0.3759,48.92,28.3,1.0,21.78
M17,무릎관절증,0.4981,10.12,12.29,13.77,63.82
M54,등통증,0.513,8.56,10.48,13.09,67.86
