우선순위,지역,구,유형,총계,65세이상,고령인구비율,독거노인수,독거노인비율_고령인구대비,심한장애인수,심한장애인비율_전체인구대비,의료기관수,공공기관수,고령인구1000명당의료기관수,인구취약점수,의료취약점수,교통취약점수,종합점수,위험등급,위험수준,선정이유,핵심취약영역,점수기반_선정설명,정책추천
12,봉명동,동남구,동,17048,3498,20.52,728,20.81,359,2.11,6,0,1.72,37.23,97.83,72.05,65.4,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,봉명동 | 인구취약 37.2점 · 의료취약 97.8점 · 교통취약 72.0점 · 종합 65.4점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
13,성환읍,서북구,읍,21430,6823,31.84,1401,20.53,533,2.49,21,4,3.08,50.16,71.12,82.34,63.93,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 고령인구 지원 규모가 큼",교통,성환읍 | 인구취약 50.2점 · 의료취약 71.1점 · 교통취약 82.3점 · 종합 63.9점,집중 모니터링 및 순회방문 / 예약형 셔틀·수요응답형 교통 지원
14,목천읍,동남구,읍,21717,5384,24.79,1135,21.08,482,2.22,14,2,2.6,43.37,84.23,72.47,63.49,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,목천읍 | 인구취약 43.4점 · 의료취약 84.2점 · 교통취약 72.5점 · 종합 63.5점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대
15,일봉동,동남구,동,24213,4144,17.11,613,14.79,351,1.45,1,0,0.24,26.03,99.7,78.1,62.23,B,주의,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,일봉동 | 인구취약 26.0점 · 의료취약 99.7점 · 교통취약 78.1점 · 종합 62.2점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
16,중앙동,동남구,동,4395,1660,37.77,552,33.25,163,3.71,29,0,17.47,67.39,78.0,22.93,62.21,B,주의,"독거노인 비율이 높음, 공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,중앙동 | 인구취약 67.4점 · 의료취약 78.0점 · 교통취약 22.9점 · 종합 62.2점,집중 모니터링 및 순회방문 / 독거노인·중증장애인 대상군 우선 확인 / 인접 공공기관 또는 협력의료기관 거점 지정
17,성거읍,서북구,읍,21269,4218,19.83,681,16.15,424,1.99,6,1,1.42,31.24,91.96,77.19,61.68,B,주의,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함, 공공 보건기관이 부족함",의료,성거읍 | 인구취약 31.2점 · 의료취약 92.0점 · 교통취약 77.2점 · 종합 61.7점,집중 모니터링 및 순회방문 / 보건지소 연계 이동진료·방문진료 확대
18,문성동,동남구,동,7785,1293,16.61,292,22.58,125,1.61,8,0,6.19,32.59,92.2,64.41,59.82,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,문성동 | 인구취약 32.6점 · 의료취약 92.2점 · 교통취약 64.4점 · 종합 59.8점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
19,직산읍,서북구,읍,18957,3837,20.24,700,18.24,386,2.04,18,3,4.69,33.9,75.34,87.65,59.16,C,관심,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",교통,직산읍 | 인구취약 33.9점 · 의료취약 75.3점 · 교통취약 87.7점 · 종합 59.2점,정기 건강관리·예방 중심 관리 / 예약형 셔틀·수요응답형 교통 지원
20,풍세면,동남구,면,10557,2216,20.99,348,15.7,121,1.15,5,3,2.26,26.53,78.4,93.57,58.1,C,관심,"고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",교통,풍세면 | 인구취약 26.5점 · 의료취약 78.4점 · 교통취약 93.6점 · 종합 58.1점,정기 건강관리·예방 중심 관리 / 예약형 셔틀·수요응답형 교통 지원
21,성정2동,서북구,동,24417,3518,14.41,770,21.89,551,2.26,50,0,14.21,34.85,82.1,67.54,57.93,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,성정2동 | 인구취약 34.9점 · 의료취약 82.1점 · 교통취약 67.5점 · 종합 57.9점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
22,신방동,동남구,동,42607,5449,12.79,776,14.24,551,1.29,41,0,7.52,23.66,90.53,75.13,57.36,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,신방동 | 인구취약 23.7점 · 의료취약 90.5점 · 교통취약 75.1점 · 종합 57.4점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
23,청룡동,동남구,동,59960,8386,13.99,1086,12.95,945,1.58,56,0,6.68,27.47,91.59,53.3,55.08,C,관심,"고령인구 지원 규모가 큼, 공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,청룡동 | 인구취약 27.5점 · 의료취약 91.6점 · 교통취약 53.3점 · 종합 55.1점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
24,쌍용2동,서북구,동,33638,4947,14.71,518,10.47,504,1.5,31,0,6.27,19.85,92.1,66.92,54.55,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,쌍용2동 | 인구취약 19.9점 · 의료취약 92.1점 · 교통취약 66.9점 · 종합 54.5점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
25,쌍용1동,서북구,동,12178,2848,23.39,356,12.5,231,1.9,50,0,17.56,26.77,77.88,60.01,51.31,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,쌍용1동 | 인구취약 26.8점 · 의료취약 77.9점 · 교통취약 60.0점 · 종합 51.3점,정기 건강관리·예방 중심 관리 / 인접 공공기관 또는 협력의료기관 거점 지정
26,부성1동,서북구,동,56813,5223,9.19,602,11.53,565,0.99,38,0,7.28,16.48,90.83,54.12,50.03,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,부성1동 | 인구취약 16.5점 · 의료취약 90.8점 · 교통취약 54.1점 · 종합 50.0점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
27,백석동,서북구,동,40263,3754,9.32,257,6.85,444,1.1,27,0,7.19,8.68,90.94,66.12,48.96,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,백석동 | 인구취약 8.7점 · 의료취약 90.9점 · 교통취약 66.1점 · 종합 49.0점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
28,신안동,동남구,동,39066,6486,16.6,837,12.9,471,1.21,109,0,16.81,25.68,78.83,39.74,47.1,C,관심,"공공 보건기관이 부족함, 고령인구 지원 규모가 큼, 고령인구 대비 의료기관이 부족함",의료,신안동 | 인구취약 25.7점 · 의료취약 78.8점 · 교통취약 39.7점 · 종합 47.1점,정기 건강관리·예방 중심 관리 / 인접 공공기관 또는 협력의료기관 거점 지정
29,부성2동,서북구,동,63877,3737,5.85,352,9.42,521,0.82,57,0,15.25,8.91,80.79,69.43,46.17,C,관심,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함, 대중교통 접근성이 취약함",의료,부성2동 | 인구취약 8.9점 · 의료취약 80.8점 · 교통취약 69.4점 · 종합 46.2점,정기 건강관리·예방 중심 관리 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
30,불당1동,서북구,동,31541,2234,7.08,192,8.59,235,0.75,27,0,12.09,6.46,84.77,54.27,43.43,D,일반,"공공 보건기관이 부족함, 고령인구 대비 의료기관이 부족함",의료,불당1동 | 인구취약 6.5점 · 의료취약 84.8점 · 교통취약 54.3점 · 종합 43.4점,현행 서비스 유지 및 지표 모니터링 / 보건지소 연계 이동진료·방문진료 확대 / 인접 공공기관 또는 협력의료기관 거점 지정
31,불당2동,서북구,동,37287,1528,4.1,131,8.57,228,0.61,91,0,59.55,3.07,25.0,66.6,23.45,D,일반,"공공 보건기관이 부족함, 대중교통 접근성이 취약함",교통,불당2동 | 인구취약 3.1점 · 의료취약 25.0점 · 교통취약 66.6점 · 종합 23.4점,현행 서비스 유지 및 지표 모니터링 / 인접 공공기관 또는 협력의료기관 거점 지정
