연번,노선번호,운수업체명,1회운행거리(km_편도기준),1일운행횟수(회_편도기준),비고,데이터기준일자
138,701,"보성,삼안,새천안",26.7,18,,2026-03-10
139,702,"보성,삼안,새천안",22.1,1,편도,2026-03-10
140,710,"보성,삼안,새천안",29.3,18,,2026-03-10
141,720,"보성,삼안,새천안",12.8,16,,2026-03-10
142,730,"보성,삼안,새천안",13.1,10,,2026-03-10
143,800,"보성,삼안,새천안",15,78,,2026-03-10
144,815,"보성,삼안,새천안",25,9,,2026-03-10
145,830,"보성,삼안,새천안",5.5,14,,2026-03-10
146,840,"보성,삼안,새천안",4.2,14,,2026-03-10
147,850,"보성,삼안,새천안",3.4,6,,2026-03-10
148,860,"보성,삼안,새천안",6.2,18,,2026-03-10
149,900,"보성,삼안,새천안",18.8,131,,2026-03-10
150,910,"보성,삼안,새천안",19.5,65,,2026-03-10
151,999,"보성,삼안,새천안",28.6,4,,2026-03-10
152,870,"보성,삼안,새천안",18.8,20,휴지,2026-03-10
153,931,"보성,삼안,새천안",15.5,24,휴지,2026-03-10
154,960,"보성,삼안,새천안",15.5,24,휴지,2026-03-10
