정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,시도,시군구,읍면동
CAB285071892,전선사원아파트,36.726066,127.114826,2025-10-31,71892,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071893,전선사원아파트,36.725894,127.115057,2025-10-31,71893,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071894,높은뜻씨앗학교,36.727218,127.110212,2025-10-31,71894,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071895,높은뜻씨앗학교,36.727033,127.110223,2025-10-31,71895,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071897,한국전력공사 천안지사,36.826121,127.131981,2025-10-31,71897,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성정2동
CAB285071898,한국전력공사 천안지사,36.826125,127.131177,2025-10-31,71898,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285071899,천안한방병원,36.82531,127.129422,2025-10-31,71899,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,백석동
CAB285071900,천안한방병원,36.825378,127.128838,2025-10-31,71900,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성2동
CAB285071901,주공6단지,36.823137,127.132008,2025-10-31,71901,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성정2동
CAB285071902,주공6단지,36.823051,127.13233,2025-10-31,71902,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성정2동
CAB285071903,천안성광교회,36.794816,127.176002,2025-10-31,71903,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,청룡동
CAB285071904,천안성광교회,36.79494,127.175868,2025-10-31,71904,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,청룡동
CAB285071906,풍세면행정복지센터,36.723146,127.120029,2025-10-31,71906,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071909,신가초등학교,36.950027,127.116135,2025-10-31,71909,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071910,신가초등학교,36.949907,127.116086,2025-10-31,71910,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071911,풍세면복지회관,36.720498,127.120373,2025-10-31,71911,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071912,봉서산아이파크아파트,36.806856,127.137834,2025-10-31,71912,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,봉명동
CAB285071913,어룡리,36.940771,127.121049,2025-10-31,71913,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071914,어룡리,36.940492,127.120528,2025-10-31,71914,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071915,공주대학교공대사거리,36.850056,127.155923,2025-10-31,71915,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285071916,공주대학교공대사거리,36.850121,127.15581,2025-10-31,71916,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285071917,천안시청 서북구보건소,36.813489,127.1157,2025-10-31,71917,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,불당1동
CAB285071918,아우내농협 영농자재판매장,36.759106,127.295119,2025-10-31,71918,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,병천면
CAB285071919,성환읍행정복지센터,36.918974,127.135087,2025-10-31,71919,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071920,성환읍행정복지센터,36.918957,127.134851,2025-10-31,71920,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,성환읍
CAB285071921,용정2리,36.735486,127.111537,2025-10-31,71921,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071922,용정2리,36.734987,127.116805,2025-10-31,0,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,풍세면
CAB285071925,청당2공원,36.781489,127.156786,2025-10-31,71925,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,청룡동
CAB285071926,팽나무골,36.913531,127.267583,2025-10-31,71926,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285071927,팽나무골,36.913364,127.267996,2025-10-31,71927,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285071928,마정저수지,36.87443,127.099666,2025-10-31,71928,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,직산읍
CAB285071929,마정저수지,36.874366,127.099854,2025-10-31,71929,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,직산읍
CAB285071930,대정1리,36.72745,127.214856,2025-10-31,71930,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,성남면
CAB285071931,두정역효성해링턴플레이스아파트,36.830162,127.145296,2025-10-31,71931,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285071932,두정역효성해링턴플레이스아파트 건너,36.8302,127.145065,2025-10-31,71932,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,부성1동
CAB285071934,진주골,36.747913,127.192347,2025-10-31,71934,34010,충청남도 천안시,천안BIS,충청남도,천안시동남구,목천읍
CAB285071935,대한민국축구종합센터,36.941641,127.200335,2025-10-31,71935,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285071936,대한민국축구종합센터건너,36.941637,127.200174,2025-10-31,71936,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285071937,축구종합센터잔디광장건너,36.941487,127.197379,2025-10-31,71937,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
CAB285071938,축구종합센터잔디광장,36.941482,127.19754,2025-10-31,71938,34010,충청남도 천안시,천안BIS,충청남도,천안시서북구,입장면
